id	parentId	type	text	options	target	signal
START	null	start	Good evening. Let's reflect on today.			

Q1	START	question	How would you describe today?	Productive|Stressful|Mixed|Frustrating		

D1	Q1	decision	answer=Productive|Mixed:Q2A;answer=Stressful|Frustrating:Q2B		

Q2A	D1	question	What made things go well today?	My preparation|Team support|I adapted|Luck		axis1:internal

Q2B	D1	question	When difficulties arose, what was your first instinct?	Find what I control|Wait for help|Feel stuck|Blame others		axis1:external

R1	Q2A	reflection	You noticed your own agency in outcomes.			

R2	Q2B	reflection	Even hard days include moments where you made choices.			

B1	R1	bridge	Let's shift from control to contribution.		A2Q1

A2Q1	B1	question	How did you contribute today?	Helped teammate|Did extra effort|Expected recognition|Focused only on own work		axis2:contribution

A2Q2	A2Q1	question	When someone needed support I:	Volunteered|Helped when asked|Stayed focused on myself|Expected others to help		

A2R	A2Q2	reflection	Contribution often appears in small unnoticed actions.			

B2	A2R	bridge	Now think beyond yourself.		A3Q1

A3Q1	B2	question	Who came to mind during challenges today?	Me only|My team|A colleague|Customer/end user		axis3:altro

A3Q2	A3Q1	question	When making decisions I considered:	My workload|Team impact|Someone struggling|Broader purpose		

A3R	A3Q2	reflection	Meaning often grows when concern expands beyond self.			

SUM	A3R	summary	Today you reflected on agency, contribution and wider impact.			

END	SUM	end	See you tomorrow.
